Tree	Node A-upos	Node B-upos	Node C-upos	Node D-upos	Node E-upos	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Root node
ADP <case ADJ <amod NOUN	ADP	ADJ	NOUN			49	1948.3876	ABC	pattern {C [upos=NOUN]; A [upos=ADP]; B [upos=ADJ]; C -[case]-> A; C -[amod]-> B; C >> A; C >> B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADP%5D%3B%20B%20%5Bupos%3DADJ%5D%3B%20C%20-%5Bcase%5D-%3E%20A%3B%20C%20-%5Bamod%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	NOUN
ADP <case DET <det ADJ <amod NOUN	ADP	DET	ADJ	NOUN		48	1908.6246	ABCD	pattern {D [upos=NOUN]; A [upos=ADP]; B [upos=DET]; C [upos=ADJ]; D -[case]-> A; D -[det]-> B; D -[amod]-> C; D >> A; D >> B; D >> C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BD%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADP%5D%3B%20B%20%5Bupos%3DDET%5D%3B%20C%20%5Bupos%3DADJ%5D%3B%20D%20-%5Bcase%5D-%3E%20A%3B%20D%20-%5Bdet%5D-%3E%20B%3B%20D%20-%5Bamod%5D-%3E%20C%3B%20D%20%3E%3E%20A%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D	4	NOUN
PUNCT <punct NOUN	PUNCT	NOUN				41	1630.2835	AB	pattern {B [upos=NOUN]; A [upos=PUNCT]; B -[punct]-> A; B >> A}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DPUNCT%5D%3B%20B%20-%5Bpunct%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D	2	NOUN
DET <det NOUN <compound NOUN	DET	NOUN	NOUN			38	1510.9945	ABC	pattern {C [upos=NOUN]; A [upos=DET]; B [upos=NOUN]; C -[det]-> A; C -[compound]-> B; C >> A; C >> B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DDET%5D%3B%20B%20%5Bupos%3DNOUN%5D%3B%20C%20-%5Bdet%5D-%3E%20A%3B%20C%20-%5Bcompound%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	NOUN
ADP <case NOUN <compound NOUN	ADP	NOUN	NOUN			24	954.3123	ABC	pattern {C [upos=NOUN]; A [upos=ADP]; B [upos=NOUN]; C -[case]-> A; C -[compound]-> B; C >> A; C >> B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADP%5D%3B%20B%20%5Bupos%3DNOUN%5D%3B%20C%20-%5Bcase%5D-%3E%20A%3B%20C%20-%5Bcompound%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	NOUN
ADP <case DET <det NOUN <compound NOUN	ADP	DET	NOUN	NOUN		23	914.5493	ABCD	pattern {D [upos=NOUN]; A [upos=ADP]; B [upos=DET]; C [upos=NOUN]; D -[case]-> A; D -[det]-> B; D -[compound]-> C; D >> A; D >> B; D >> C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BD%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADP%5D%3B%20B%20%5Bupos%3DDET%5D%3B%20C%20%5Bupos%3DNOUN%5D%3B%20D%20-%5Bcase%5D-%3E%20A%3B%20D%20-%5Bdet%5D-%3E%20B%3B%20D%20-%5Bcompound%5D-%3E%20C%3B%20D%20%3E%3E%20A%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D	4	NOUN
NOUN >punct PUNCT	NOUN	PUNCT				21	835.0233	AB	pattern {A [upos=NOUN]; B [upos=PUNCT]; A -[punct]-> B; A << B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BA%20%5Bupos%3DNOUN%5D%3B%20B%20%5Bupos%3DPUNCT%5D%3B%20A%20-%5Bpunct%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D	2	NOUN
CCONJ <cc ADJ <amod NOUN	CCONJ	ADJ	NOUN			21	835.0233	ABC	pattern {C [upos=NOUN]; A [upos=CCONJ]; B [upos=ADJ]; C -[cc]-> A; C -[amod]-> B; C >> A; C >> B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DCCONJ%5D%3B%20B%20%5Bupos%3DADJ%5D%3B%20C%20-%5Bcc%5D-%3E%20A%3B%20C%20-%5Bamod%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	NOUN
ADJ <amod NOUN >punct PUNCT	ADJ	NOUN	PUNCT			21	835.0233	ABC	pattern {B [upos=NOUN]; A [upos=ADJ]; C [upos=PUNCT]; B -[amod]-> A; B -[punct]-> C; B >> A; B << C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADJ%5D%3B%20C%20%5Bupos%3DPUNCT%5D%3B%20B%20-%5Bamod%5D-%3E%20A%3B%20B%20-%5Bpunct%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	NOUN
DET <det NOUN >nmod (ADP <case DET <det NOUN)	DET	NOUN	ADP	DET	NOUN	17	675.9712	ABCDE	pattern {B [upos=NOUN]; A [upos=DET]; E [upos=NOUN]; C [upos=ADP]; D [upos=DET]; B -[det]-> A; B -[nmod]-> E; E -[case]-> C; E -[det]-> D; B >> A; B << E; E >> C; E >> D}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DDET%5D%3B%20E%20%5Bupos%3DNOUN%5D%3B%20C%20%5Bupos%3DADP%5D%3B%20D%20%5Bupos%3DDET%5D%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20B%20-%5Bnmod%5D-%3E%20E%3B%20E%20-%5Bcase%5D-%3E%20C%3B%20E%20-%5Bdet%5D-%3E%20D%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20E%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%7D	5	NOUN
DET <det NOUN >nmod (ADP <case NOUN)	DET	NOUN	ADP	NOUN		14	556.6822	ABCD	pattern {B [upos=NOUN]; A [upos=DET]; D [upos=NOUN]; C [upos=ADP]; B -[det]-> A; B -[nmod]-> D; D -[case]-> C; B >> A; B << D; D >> C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DDET%5D%3B%20D%20%5Bupos%3DNOUN%5D%3B%20C%20%5Bupos%3DADP%5D%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20B%20-%5Bnmod%5D-%3E%20D%3B%20D%20-%5Bcase%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20D%3B%20D%20%3E%3E%20C%7D	4	NOUN
PRON <nmod:poss ADJ <amod NOUN	PRON	ADJ	NOUN			13	516.9192	ABC	pattern {C [upos=NOUN]; A [upos=PRON]; B [upos=ADJ]; C -[nmod:poss]-> A; C -[amod]-> B; C >> A; C >> B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DPRON%5D%3B%20B%20%5Bupos%3DADJ%5D%3B%20C%20-%5Bnmod%3Aposs%5D-%3E%20A%3B%20C%20-%5Bamod%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	NOUN
ADP <case NUM <nummod NOUN	ADP	NUM	NOUN			13	516.9192	ABC	pattern {C [upos=NOUN]; A [upos=ADP]; B [upos=NUM]; C -[case]-> A; C -[nummod]-> B; C >> A; C >> B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADP%5D%3B%20B%20%5Bupos%3DNUM%5D%3B%20C%20-%5Bcase%5D-%3E%20A%3B%20C%20-%5Bnummod%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	NOUN
PROPN <compound NOUN	PROPN	NOUN				10	397.6301	AB	pattern {B [upos=NOUN]; A [upos=PROPN]; B -[compound]-> A; B >> A}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DPROPN%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D	2	NOUN
ADP <case DET <det PROPN <compound NOUN	ADP	DET	PROPN	NOUN		9	357.8671	ABCD	pattern {D [upos=NOUN]; A [upos=ADP]; B [upos=DET]; C [upos=PROPN]; D -[case]-> A; D -[det]-> B; D -[compound]-> C; D >> A; D >> B; D >> C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BD%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADP%5D%3B%20B%20%5Bupos%3DDET%5D%3B%20C%20%5Bupos%3DPROPN%5D%3B%20D%20-%5Bcase%5D-%3E%20A%3B%20D%20-%5Bdet%5D-%3E%20B%3B%20D%20-%5Bcompound%5D-%3E%20C%3B%20D%20%3E%3E%20A%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D	4	NOUN
ADP <case ADJ <amod ADJ <amod NOUN	ADP	ADJ	ADJ	NOUN		9	357.8671	ABCD	pattern {D [upos=NOUN]; A [upos=ADP]; B [upos=ADJ]; C [upos=ADJ]; D -[case]-> A; D -[amod]-> B; D -[amod]-> C; D >> A; D >> B; D >> C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BD%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADP%5D%3B%20B%20%5Bupos%3DADJ%5D%3B%20C%20%5Bupos%3DADJ%5D%3B%20D%20-%5Bcase%5D-%3E%20A%3B%20D%20-%5Bamod%5D-%3E%20B%3B%20D%20-%5Bamod%5D-%3E%20C%3B%20D%20%3E%3E%20A%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D	4	NOUN
DET <det PROPN <compound NOUN	DET	PROPN	NOUN			9	357.8671	ABC	pattern {C [upos=NOUN]; A [upos=DET]; B [upos=PROPN]; C -[det]-> A; C -[compound]-> B; C >> A; C >> B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DDET%5D%3B%20B%20%5Bupos%3DPROPN%5D%3B%20C%20-%5Bdet%5D-%3E%20A%3B%20C%20-%5Bcompound%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	NOUN
ADP <case PRON <nmod:poss ADJ <amod NOUN	ADP	PRON	ADJ	NOUN		9	357.8671	ABCD	pattern {D [upos=NOUN]; A [upos=ADP]; B [upos=PRON]; C [upos=ADJ]; D -[case]-> A; D -[nmod:poss]-> B; D -[amod]-> C; D >> A; D >> B; D >> C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BD%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADP%5D%3B%20B%20%5Bupos%3DPRON%5D%3B%20C%20%5Bupos%3DADJ%5D%3B%20D%20-%5Bcase%5D-%3E%20A%3B%20D%20-%5Bnmod%3Aposs%5D-%3E%20B%3B%20D%20-%5Bamod%5D-%3E%20C%3B%20D%20%3E%3E%20A%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D	4	NOUN
VERB <amod NOUN >punct PUNCT >appos NOUN	VERB	NOUN	PUNCT	NOUN		9	357.8671	ABCD	pattern {B [upos=NOUN]; A [upos=VERB]; C [upos=PUNCT]; D [upos=NOUN]; B -[amod]-> A; B -[punct]-> C; B -[appos]-> D; B >> A; B << C; B << D}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DVERB%5D%3B%20C%20%5Bupos%3DPUNCT%5D%3B%20D%20%5Bupos%3DNOUN%5D%3B%20B%20-%5Bamod%5D-%3E%20A%3B%20B%20-%5Bpunct%5D-%3E%20C%3B%20B%20-%5Bappos%5D-%3E%20D%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%3B%20B%20%3C%3C%20D%7D	4	NOUN
DET <det NOUN >case PART	DET	NOUN	PART			8	318.1041	ABC	pattern {B [upos=NOUN]; A [upos=DET]; C [upos=PART]; B -[det]-> A; B -[case]-> C; B >> A; B << C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DDET%5D%3B%20C%20%5Bupos%3DPART%5D%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20B%20-%5Bcase%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	NOUN
ADJ <amod NOUN <compound NOUN	ADJ	NOUN	NOUN			8	318.1041	ABC	pattern {C [upos=NOUN]; A [upos=ADJ]; B [upos=NOUN]; C -[amod]-> A; C -[compound]-> B; C >> A; C >> B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADJ%5D%3B%20B%20%5Bupos%3DNOUN%5D%3B%20C%20-%5Bamod%5D-%3E%20A%3B%20C%20-%5Bcompound%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	NOUN
ADP <case PROPN <compound NOUN	ADP	PROPN	NOUN			7	278.3411	ABC	pattern {C [upos=NOUN]; A [upos=ADP]; B [upos=PROPN]; C -[case]-> A; C -[compound]-> B; C >> A; C >> B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADP%5D%3B%20B%20%5Bupos%3DPROPN%5D%3B%20C%20-%5Bcase%5D-%3E%20A%3B%20C%20-%5Bcompound%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	NOUN
NOUN >nmod (ADP <case NOUN)	NOUN	ADP	NOUN			7	278.3411	ABC	pattern {A [upos=NOUN]; C [upos=NOUN]; B [upos=ADP]; A -[nmod]-> C; C -[case]-> B; A << C; C >> B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BA%20%5Bupos%3DNOUN%5D%3B%20C%20%5Bupos%3DNOUN%5D%3B%20B%20%5Bupos%3DADP%5D%3B%20A%20-%5Bnmod%5D-%3E%20C%3B%20C%20-%5Bcase%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D	3	NOUN
PUNCT <punct NOUN >punct PUNCT >punct PUNCT	PUNCT	NOUN	PUNCT	PUNCT		7	278.3411	ABCD	pattern {B [upos=NOUN]; A [upos=PUNCT]; C [upos=PUNCT]; D [upos=PUNCT]; B -[punct]-> A; B -[punct]-> C; B -[punct]-> D; B >> A; B << C; B << D}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DPUNCT%5D%3B%20C%20%5Bupos%3DPUNCT%5D%3B%20D%20%5Bupos%3DPUNCT%5D%3B%20B%20-%5Bpunct%5D-%3E%20A%3B%20B%20-%5Bpunct%5D-%3E%20C%3B%20B%20-%5Bpunct%5D-%3E%20D%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%3B%20B%20%3C%3C%20D%7D	4	NOUN
CCONJ <cc NOUN <compound NOUN	CCONJ	NOUN	NOUN			7	278.3411	ABC	pattern {C [upos=NOUN]; A [upos=CCONJ]; B [upos=NOUN]; C -[cc]-> A; C -[compound]-> B; C >> A; C >> B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DCCONJ%5D%3B%20B%20%5Bupos%3DNOUN%5D%3B%20C%20-%5Bcc%5D-%3E%20A%3B%20C%20-%5Bcompound%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	NOUN
PUNCT <punct ADJ <amod NOUN	PUNCT	ADJ	NOUN			7	278.3411	ABC	pattern {C [upos=NOUN]; A [upos=PUNCT]; B [upos=ADJ]; C -[punct]-> A; C -[amod]-> B; C >> A; C >> B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DPUNCT%5D%3B%20B%20%5Bupos%3DADJ%5D%3B%20C%20-%5Bpunct%5D-%3E%20A%3B%20C%20-%5Bamod%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	NOUN
NOUN >case PART	NOUN	PART				6	238.5781	AB	pattern {A [upos=NOUN]; B [upos=PART]; A -[case]-> B; A << B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BA%20%5Bupos%3DNOUN%5D%3B%20B%20%5Bupos%3DPART%5D%3B%20A%20-%5Bcase%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D	2	NOUN
DET <det ADJ <amod NOUN >nmod (ADP <case NOUN)	DET	ADJ	NOUN	ADP	NOUN	6	238.5781	ABCDE	pattern {C [upos=NOUN]; A [upos=DET]; B [upos=ADJ]; E [upos=NOUN]; D [upos=ADP]; C -[det]-> A; C -[amod]-> B; C -[nmod]-> E; E -[case]-> D; C >> A; C >> B; C << E; E >> D}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DDET%5D%3B%20B%20%5Bupos%3DADJ%5D%3B%20E%20%5Bupos%3DNOUN%5D%3B%20D%20%5Bupos%3DADP%5D%3B%20C%20-%5Bdet%5D-%3E%20A%3B%20C%20-%5Bamod%5D-%3E%20B%3B%20C%20-%5Bnmod%5D-%3E%20E%3B%20E%20-%5Bcase%5D-%3E%20D%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%3B%20C%20%3C%3C%20E%3B%20E%20%3E%3E%20D%7D	5	NOUN
(PROPN >case PART) <nmod:poss NOUN	PROPN	PART	NOUN			6	238.5781	ABC	pattern {C [upos=NOUN]; A [upos=PROPN]; B [upos=PART]; C -[nmod:poss]-> A; A -[case]-> B; C >> A; A << B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DPROPN%5D%3B%20B%20%5Bupos%3DPART%5D%3B%20C%20-%5Bnmod%3Aposs%5D-%3E%20A%3B%20A%20-%5Bcase%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20A%20%3C%3C%20B%7D	3	NOUN
ADJ <amod ADJ <amod NOUN	ADJ	ADJ	NOUN			6	238.5781	ABC	pattern {C [upos=NOUN]; A [upos=ADJ]; B [upos=ADJ]; C -[amod]-> A; C -[amod]-> B; C >> A; C >> B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADJ%5D%3B%20B%20%5Bupos%3DADJ%5D%3B%20C%20-%5Bamod%5D-%3E%20A%3B%20C%20-%5Bamod%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	NOUN
ADJ <amod PUNCT <punct NOUN	ADJ	PUNCT	NOUN			6	238.5781	ABC	pattern {C [upos=NOUN]; A [upos=ADJ]; B [upos=PUNCT]; C -[amod]-> A; C -[punct]-> B; C >> A; C >> B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADJ%5D%3B%20B%20%5Bupos%3DPUNCT%5D%3B%20C%20-%5Bamod%5D-%3E%20A%3B%20C%20-%5Bpunct%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	NOUN
DET <det ADJ <amod NOUN <compound NOUN	DET	ADJ	NOUN	NOUN		6	238.5781	ABCD	pattern {D [upos=NOUN]; A [upos=DET]; B [upos=ADJ]; C [upos=NOUN]; D -[det]-> A; D -[amod]-> B; D -[compound]-> C; D >> A; D >> B; D >> C}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BD%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DDET%5D%3B%20B%20%5Bupos%3DADJ%5D%3B%20C%20%5Bupos%3DNOUN%5D%3B%20D%20-%5Bdet%5D-%3E%20A%3B%20D%20-%5Bamod%5D-%3E%20B%3B%20D%20-%5Bcompound%5D-%3E%20C%3B%20D%20%3E%3E%20A%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D	4	NOUN
PRON <nmod:poss NOUN <compound NOUN	PRON	NOUN	NOUN			6	238.5781	ABC	pattern {C [upos=NOUN]; A [upos=PRON]; B [upos=NOUN]; C -[nmod:poss]-> A; C -[compound]-> B; C >> A; C >> B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DPRON%5D%3B%20B%20%5Bupos%3DNOUN%5D%3B%20C%20-%5Bnmod%3Aposs%5D-%3E%20A%3B%20C%20-%5Bcompound%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	NOUN
NOUN >nummod NUM	NOUN	NUM				6	238.5781	AB	pattern {A [upos=NOUN]; B [upos=NUM]; A -[nummod]-> B; A << B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BA%20%5Bupos%3DNOUN%5D%3B%20B%20%5Bupos%3DNUM%5D%3B%20A%20-%5Bnummod%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D	2	NOUN
